video_id,frames,topics,comments,corr_avg,corr_median,corr_n,corr_n_ge_60,transcript_words,duration_s
-qCO7NUpLc0,144,1,2,0.0,0.0,2,0,42,479.161
09c4bdKM5Kw,526,5,2,31.5,20.0,10,3,3309,875.981
15cdyl2PU-E,129,6,2,68.125,80.0,8,6,1270,428.641
31ArBvYoG2Q,988,9,1,81.66666666666667,80.0,6,6,6512,1648.181
35YuILUlfGs,160,8,1,67.5,80.0,4,3,1675,664.661
3cFSNRG2xfA,46,3,1,90.0,90.0,3,3,378,151.9518
3dQjIeYoIdM,115,3,0,,,0,0,1165,478.921
56p3_aORiJ0,363,2,4,66.875,80.0,16,12,3331,1209.921
7JH1_ZKV7t4,157,2,1,10.0,10.0,2,0,1696,523.701
9fFjlxUUQZg,126,0,0,,,0,0,679,417.801
9fYzb1g8tzw,164,6,1,26.666666666666668,20.0,6,1,2180,652.061
ACvQNJwZSPg,100,0,0,,,0,0,34,330.621
AN3yxIBAxTA,296,8,1,81.25,90.0,8,7,2493,984.121
CAYKno16weE,163,2,7,32.142857142857146,20.0,14,3,1839,649.941
CvMDlG_AF3Q,171,1,3,6.666666666666667,0.0,3,0,67,569.701
DOWDNBu9DkU,310,4,1,10.0,10.0,4,0,4505,1291.521
DQOt-m7rg80,160,4,1,50.0,50.0,4,2,1318,531.861
DeSDjjicGWY,478,7,1,78.57142857142857,90.0,7,6,2439,954.441
DkbfBIMSdgo,97,5,1,44.0,20.0,5,2,1010,384.701
ERLMO-nay30,104,3,2,15.0,20.0,6,0,128,344.201
FNG9f2qJdWk,103,2,1,45.0,45.0,2,1,142,341.461
GbdF6th5PZk,146,3,4,9.166666666666666,5.0,12,0,209,485.161
Gpm-TI21x9s,263,6,1,55.0,55.0,6,3,3108,1048.221
GqCn94Ksdbo,181,2,2,55.0,55.0,4,2,1075,603.481
HWMq1WjvgfE,510,3,2,63.333333333333336,80.0,6,4,2649,1699.361
K4aI2t5T00c,304,3,7,7.142857142857143,0.0,21,0,111,506.381
KDwqqlqdYFQ,175,0,0,,,0,0,835,581.901
LYJDlz5w77Y,307,7,2,9.285714285714286,5.0,14,0,2648,1022.888533
N5DbiWFjbh8,644,6,1,87.5,87.5,6,6,3205,1073.121
NQvVeLHzfSs,30,3,5,84.33333333333333,80.0,15,15,253,132.541
P4GsoMTv-SY,362,3,5,37.0,20.0,15,4,3031,1216.141
PWyqVEkZGWk,264,5,2,51.0,50.0,10,5,2815,877.981
PfFkm0Kgkn0,115,1,1,0.0,0.0,1,0,35,382.361
R2UqeJbK2yc,255,1,2,5.0,5.0,2,0,39,424.701
S0j4xOuRzD4,163,0,0,,,0,0,1687,649.901
U5cqrrhq9TA,206,5,3,75.0,80.0,15,13,1697,685.361
WoHjWZFTnpQ,196,6,1,63.333333333333336,80.0,6,4,2535,651.466667
WpE4mQegNLgESP32,286,8,1,53.75,80.0,8,5,1970,
YIAQ80evrFM,88,0,0,,,0,0,42,293.261
YQ8ZhHBraZg,58,3,1,40.0,20.0,3,1,649,192.181
YQeOmeMGpvE,190,6,1,64.16666666666667,82.5,6,4,2453,790.261
ZOuZWE_tfgQ,291,5,2,64.5,80.0,10,7,1642,969.341
_HHxV-7alwE,798,4,2,48.75,50.0,8,4,7665,2660.021
a3wDEcORRR4,139,9,2,53.333333333333336,80.0,18,10,1512,461.027233
cggDZE7gZNw,279,3,4,2.5,0.0,12,0,75,556.861
dKB7uHYU-ow,86,3,1,6.666666666666667,0.0,3,0,39,284.241
dV8rpGUoxns,612,6,1,81.66666666666667,80.0,6,6,3381,1019.921
fcmXG3wB_1M,174,3,1,6.666666666666667,0.0,3,0,214,578.361
gdJHi9I0V4w,349,3,2,10.0,10.0,6,0,108,581.461
h50JwrVl2nQ,220,3,2,6.666666666666667,0.0,6,0,72,366.561
hRnofMxEf3Q,447,6,1,49.166666666666664,50.0,6,3,4158,1489.921
hnPi6i8Ua1M,110,2,6,41.666666666666664,20.0,12,5,912,365.441
jLXW6qVdfq4,70,0,0,,,0,0,53,233.181
lV6zevUF-v0,249,6,2,28.333333333333332,20.0,12,2,1180,828.761
lWgYgef-hQ8,155,1,2,5.0,5.0,2,0,48,516.001
mcAMNsmT6uE,164,3,2,0.0,0.0,6,0,627,653.141
muGlauyfOGsT,152,3,1,6.666666666666667,0.0,3,0,85,506.601
nxMkX0wtLm4,103,1,3,0.0,0.0,3,0,34,341.861
qNLvoSQCx60,156,7,1,54.285714285714285,80.0,7,4,1354,623.661
r0kBl1__VEQ,506,6,1,50.0,50.0,6,3,3249,843.301
raTtiqWOFW8,151,0,0,,,0,0,46,503.161
re-dSV_a0tM,865,8,1,20.0,20.0,8,0,3600,1440.801
rw3I118gQa8,357,1,1,0.0,0.0,1,0,52,594.481
s0dNRe0XWJ8,305,2,1,10.0,10.0,2,0,2947,1016.741
sF0KOVWj9p8,220,7,2,37.142857142857146,20.0,14,5,1788,730.701
sHwSIcIdeDI,126,1,1,20.0,20.0,1,0,60,503.76
sI5Ftm1-jik,77,0,0,,,0,0,829,254.541
t4LPzGIr41c,204,6,1,46.666666666666664,45.0,6,3,2456,678.761
u40kX1DYKdA,138,2,1,87.5,87.5,2,2,998,458.421
w49SSxiPK_Q,71,1,2,40.0,40.0,2,1,31,236.161
wmTlM5s2xTY,268,7,1,17.142857142857142,20.0,7,0,2357,891.281
yPwYNUDkkZs,357,4,2,59.375,80.0,8,5,2566,1189.621
z58RORCUTao,367,7,1,32.857142857142854,20.0,7,2,1776,612.041
zZE4AejgDOA,176,2,1,0.0,0.0,2,0,110,584.561
